xData0, data0, errData0, xTheory0, theory0, xData1, data1, errData1, xTheory1, theory1
0.103967285, 0.0935911536, 0.00229981517, 0.0304199219, 0.106818579, 0.103967285, 0.0860384405, 0.00286191931, 0.0304199219, 0.0866901949
0.106408691, 0.0971831083, 0.00230181029, 0.0307250977, 0.106762901, 0.106408691, 0.0813315809, 0.00286108474, 0.0307250977, 0.0869172961
0.108850098, 0.0968044922, 0.00230280464, 0.0310302734, 0.106707387, 0.108850098, 0.0813215151, 0.00286315748, 0.0310302734, 0.0871229246
0.111291504, 0.0962597281, 0.00229698456, 0.0313354492, 0.106652044, 0.111291504, 0.0811170787, 0.00286823664, 0.0313354492, 0.0873064622
0.11373291, 0.0969627425, 0.00230644576, 0.031640625, 0.106596865, 0.11373291, 0.0742783025, 0.00286417049, 0.031640625, 0.0874673724
0.116174316, 0.0979814678, 0.00230053298, 0.0319458008, 0.106541857, 0.116174316, 0.0802359283, 0.00286285195, 0.0319458008, 0.0876052156
0.118615723, 0.0919825807, 0.00230426185, 0.0322509766, 0.106487006, 0.118615723, 0.0827838853, 0.00286959927, 0.0322509766, 0.0877196118
0.121057129, 0.097756885, 0.00230727271, 0.0325561523, 0.106432326, 0.121057129, 0.0841221958, 0.00286891645, 0.0325561523, 0.0878102928
0.123498535, 0.0942741036, 0.00231074746, 0.0328613281, 0.10637781, 0.123498535, 0.0785984471, 0.00287326407, 0.0328613281, 0.0878770575
0.125939941, 0.0939398408, 0.00230949716, 0.0331665039, 0.106323458, 0.125939941, 0.081370905, 0.00288062358, 0.0331665039, 0.087919794
0.128381348, 0.0933953226, 0.00231127663, 0.0334716797, 0.10626927, 0.128381348, 0.0797705278, 0.00287648608, 0.0334716797, 0.0879384801
0.130822754, 0.093206659, 0.00231043407, 0.0337768555, 0.106215246, 0.130822754, 0.0836281851, 0.00288994566, 0.0337768555, 0.0879331753
0.13326416, 0.0970053673, 0.00231458392, 0.0340820312, 0.106161386, 0.13326416, 0.0847316384, 0.0028752624, 0.0340820312, 0.0879040286
0.135705566, 0.0929195285, 0.00231177964, 0.034387207, 0.106107682, 0.135705566, 0.0868185461, 0.00288449744, 0.034387207, 0.087851271
0.138146973, 0.0966704264, 0.00231795027, 0.0346923828, 0.106054142, 0.138146973, 0.0801463351, 0.00287691098, 0.0346923828, 0.0877752081
0.140588379, 0.0914575979, 0.0023185364, 0.0349975586, 0.106000766, 0.140588379, 0.0769953504, 0.00289013374, 0.0349975586, 0.0876762271
0.143029785, 0.0949283019, 0.00231934251, 0.0353027344, 0.105947547, 0.143029785, 0.0780337378, 0.00288859378, 0.0353027344, 0.087554805
0.145471191, 0.0944460556, 0.00232301071, 0.0356079102, 0.105894491, 0.145471191, 0.0739808232, 0.00288830651, 0.0356079102, 0.0874114707
0.147912598, 0.0929925293, 0.00231970127, 0.0359130859, 0.105841599, 0.147912598, 0.0798839554, 0.00288807301, 0.0359130859, 0.0872468576
0.150354004, 0.0921616182, 0.00232513703, 0.0362182617, 0.105788857, 0.150354004, 0.0732140765, 0.00289046932, 0.0362182617, 0.0870616511
0.15279541, 0.0972013623, 0.00232247882, 0.0365234375, 0.105736278, 0.15279541, 0.080146201, 0.0028945892, 0.0365234375, 0.0868565962
0.155236816, 0.0944966301, 0.00232574847, 0.0368286133, 0.105683863, 0.155236816, 0.081258893, 0.00289119827, 0.0368286133, 0.0866325274
0.157678223, 0.0944310278, 0.00232719703, 0.0371337891, 0.105631597, 0.157678223, 0.0849858448, 0.00289243498, 0.0371337891, 0.0863903165
